;ObjectId;Country;ISO3;Indicator;Unit;Scale;F2030
111;4283;Chad;TCD;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;84.57119776
112;4389;Chile;CHL;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;53.96430885
113;4392;Chile;CHL;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;53.96430885
114;4395;Chile;CHL;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;53.96430885
115;4477;China, P.R.: Hong Kong;HKG;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;36.678
116;4480;China, P.R.: Hong Kong;HKG;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;36.678
117;4483;China, P.R.: Hong Kong;HKG;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;36.678
118;4563;China, P.R.: Macao;MAC;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;2.675
119;4566;China, P.R.: Macao;MAC;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;2.675
120;4569;China, P.R.: Macao;MAC;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;2.675
121;4678;China, P.R.: Mainland;CHN;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;14148.08741
122;4681;China, P.R.: Mainland;CHN;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;14148.08741
123;4684;China, P.R.: Mainland;CHN;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;14148.08741
124;4786;Colombia;COL;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;169.4398627
125;4789;Colombia;COL;Implied conditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;169.4398627
126;4792;Colombia;COL;Implied unconditional economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;169.4398627
127;4882;Comoros, Union of the;COM;Implied average (of conditional & unconditional) economy-wide Nationally Determined Contribution 2030 target level of GHG emissions including land-use, land-use change and forestry;Million metric tons of CO2 equivalent;Units;0.946
