ObjectId;Country;ISO3;Indicator;CTS Name;Unit;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
88;Austria;AUT;Expenditure on waste water management;Expenditure on Waste Water Management;Percent of GDP;0,692391006;0,707485669;0,12589827;0,153071151;0,122609401;0,12283808;0,155442694;0,167287582;0,159357378;0,160075396;0,16756076;0,162651349;0,16012508;0,149369268;0,147099003;0,139717726;0,13239669;0,126447852;0,105899722;0,131011589;0,111383734;0,09788092;0,083202973;0,087968079;0,094116374;0,10203506;0,097228059;
89;Azerbaijan, Rep. of;AZE;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Domestic Currency;;;;;;;;;;;;;;;;;;;;;4200000;23600000;14880000;16545000;14000000;15500000;247100000;
90;Azerbaijan, Rep. of;AZE;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Percent of GDP;;;;;;;;;;;;;;;;;;;;;0,007723428;0,039056553;0,021155055;0,020657494;0,01709481;0,021356304;0,266106096;
91;Azerbaijan, Rep. of;AZE;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;;;;;;;;;;;;;;9800000;11000000;11400000;12100000;12600000;14200000;15000000;4400000;23800000;15180000;16845000;14100000;239700000;477100000;
92;Azerbaijan, Rep. of;AZE;Expenditure on environment protection;Environmental Protection Expenditures;Percent of GDP;;;;;;;;;;;;;;0,024416252;0,030897575;0,026845638;0,023232595;0,023016347;0,024406174;0,025417654;0,00809121;0,03938754;0,021581568;0,021032063;0,017216916;0,330264915;0,513796917;
93;Azerbaijan, Rep. of;AZE;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Domestic Currency;;;;;;;;;;;;;;;;;;;;;200000;200000;300000;300000;100000;1800000;5400000;
94;Azerbaijan, Rep. of;AZE;Expenditure on environmental protection n.e.c.;Expenditure on Environmental Protection Not Elsewhere Classified;Percent of GDP;;;;;;;;;;;;;;;;;;;;;0,000367782;0,000330988;0,000426513;0,000374569;0,000122106;0,002480087;0,00581535;
95;Azerbaijan, Rep. of;AZE;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Domestic Currency;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;
96;Azerbaijan, Rep. of;AZE;Expenditure on environmental protection R&D;Expenditure on Environmental Protection R&D;Percent of GDP;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;
97;Azerbaijan, Rep. of;AZE;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Domestic Currency;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;10000000;
98;Azerbaijan, Rep. of;AZE;Expenditure on pollution abatement;Expenditure on Pollution Abatement;Percent of GDP;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0,010769166;
99;Azerbaijan, Rep. of;AZE;Expenditure on waste management;Expenditure on Waste Management;Domestic Currency;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;209900000;
100;Azerbaijan, Rep. of;AZE;Expenditure on waste management;Expenditure on Waste Management;Percent of GDP;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0,226044798;
101;Azerbaijan, Rep. of;AZE;Expenditure on waste water management;Expenditure on Waste Water Management;Domestic Currency;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;222400000;4700000;
102;Azerbaijan, Rep. of;AZE;Expenditure on waste water management;Expenditure on Waste Water Management;Percent of GDP;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0,306428523;0,005061508;
103;Bahamas, The;BHS;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Domestic Currency;;;;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;6499999,25;26100000;15634000;13850000;25900000;28904233;
104;Bahamas, The;BHS;Expenditure on biodiversity & landscape protection;Expenditure on Biodiversity & Landscape Protection;Percent of GDP;;;;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0,054200084;0,211170174;0,121780991;0,105207985;0,261418118;0,259796041;
105;Bahamas, The;BHS;Expenditure on environment protection;Environmental Protection Expenditures;Domestic Currency;;;;;;0;0;0;0;0;0;;;;;99478668,77;106762794,6;106740899,8;98555744,67;103908138,5;110563350,7;82771594,54;114619282,1;89221026,36;102707552;156526150;140764685;
